,TICID,Camera,CCD,Tmag,RA,Dec,planet,light_curve
14084,294392813,3,3,10.58,109.0286,-55.5325,0,TessLightCurve(TICID: 294392813)
4503,77627543,1,3,10.77,153.474,-3.319,0,TessLightCurve(TICID: 77627543)
13422,285221883,2,1,11.8,129.2068,-28.5764,0,TessLightCurve(TICID: 285221883)
9743,184512118,3,1,8.11,127.4046,-41.5248,0,TessLightCurve(TICID: 184512118)
9729,184070341,3,2,8.68,126.6415,-39.273,0,TessLightCurve(TICID: 184070341)
6914,143848624,3,2,9.14,119.0147,-42.8604,0,TessLightCurve(TICID: 143848624)
14849,307641922,4,1,9.84,127.4916,-67.0188,0,TessLightCurve(TICID: 307641922)
4388,76334323,3,1,13.2,140.1809,-42.9142,0,TessLightCurve(TICID: 76334323)
5698,131645052,3,2,9.49,118.3541,-40.2666,0,TessLightCurve(TICID: 131645052)
4042,60787465,1,1,10.29,139.1323,-8.0093,0,TessLightCurve(TICID: 60787465)
11929,265341709,1,4,10.25,133.6172,3.1884,0,TessLightCurve(TICID: 265341709)
10647,231613873,2,1,12.49,128.1477,-27.1212,0,TessLightCurve(TICID: 231613873)
17388,355464543,3,4,11.57,131.3609,-60.6866,0,TessLightCurve(TICID: 355464543)
1997,31153716,3,1,8.0,135.2263,-45.6317,0,TessLightCurve(TICID: 31153716)
7512,149739944,1,1,10.73,130.2188,-2.2599,0,TessLightCurve(TICID: 149739944)
458,4422468,2,2,6.34,140.9364,-37.7568,0,TessLightCurve(TICID: 4422468)
1901,30471003,4,3,10.9,74.8821,-66.5613,0,TessLightCurve(TICID: 30471003)
11071,255560019,4,2,13.91,96.0307,-53.6874,0,TessLightCurve(TICID: 255560019)
994,19909684,2,2,13.26,140.7593,-30.9104,0,TessLightCurve(TICID: 19909684)
12491,272234061,4,1,10.38,117.6474,-74.1028,0,TessLightCurve(TICID: 272234061)
10391,220398169,4,3,12.39,68.9622,-58.8822,0,TessLightCurve(TICID: 220398169)
1532,25780467,2,2,12.52,145.4134,-32.3318,0,TessLightCurve(TICID: 25780467)
12921,278991073,4,2,10.05,101.9967,-57.9491,0,TessLightCurve(TICID: 278991073)
2956,41362000,4,4,11.81,92.8992,-71.9411,0,TessLightCurve(TICID: 41362000)
8237,156262228,2,1,7.84,124.4774,-25.3612,0,TessLightCurve(TICID: 156262228)
3160,47121229,1,2,14.18,144.6034,-8.2649,0,TessLightCurve(TICID: 47121229)
5135,113930954,3,2,8.85,113.8063,-34.654,0,TessLightCurve(TICID: 113930954)
11834,262722244,1,4,9.76,138.3317,5.6644,0,TessLightCurve(TICID: 262722244)
14160,294981566,4,3,10.1,72.3326,-67.3687,1,TessLightCurve(TICID: 294981566)
12365,271642710,4,4,10.47,109.1924,-75.8621,0,TessLightCurve(TICID: 271642710)
7693,150101501,4,2,9.49,92.0443,-63.3077,0,TessLightCurve(TICID: 150101501)
16104,341041890,3,4,9.22,118.2712,-59.4145,0,TessLightCurve(TICID: 341041890)
5369,119058688,2,4,8.21,135.9477,-19.8256,0,TessLightCurve(TICID: 119058688)
11997,267606709,3,3,13.34,114.5093,-49.2613,0,TessLightCurve(TICID: 267606709)
6617,141943723,4,4,10.34,95.3001,-75.5995,0,TessLightCurve(TICID: 141943723)
4418,76906766,3,1,8.93,140.8924,-46.1966,0,TessLightCurve(TICID: 76906766)
582,11300951,2,1,8.37,122.7303,-22.8895,0,TessLightCurve(TICID: 11300951)
5746,132632233,3,2,8.78,119.7972,-37.9786,0,TessLightCurve(TICID: 132632233)
18820,400525177,3,1,11.66,134.1427,-50.2587,0,TessLightCurve(TICID: 400525177)
18967,405464399,1,4,9.12,141.7553,7.1771,0,TessLightCurve(TICID: 405464399)
9416,178883159,1,3,9.44,151.6486,-2.3617,0,TessLightCurve(TICID: 178883159)
3237,47334002,1,1,7.37,135.2588,-9.2197,0,TessLightCurve(TICID: 47334002)
9760,184987861,3,1,8.93,128.1903,-39.584,0,TessLightCurve(TICID: 184987861)
14090,294394054,3,3,7.69,109.0663,-54.2261,0,TessLightCurve(TICID: 294394054)
14580,300810012,4,1,9.58,116.6805,-68.9158,0,TessLightCurve(TICID: 300810012)
17806,372913945,3,4,10.1,119.3174,-60.4271,0,TessLightCurve(TICID: 372913945)
13294,281637191,3,4,11.7,116.898,-60.2743,0,TessLightCurve(TICID: 281637191)
11640,261088410,4,4,9.57,81.8405,-79.8391,0,TessLightCurve(TICID: 261088410)
17438,358113316,4,4,10.67,70.0316,-77.0941,0,TessLightCurve(TICID: 358113316)
3134,47005451,1,2,10.7,143.9333,-11.0875,0,TessLightCurve(TICID: 47005451)
12910,278988418,4,2,10.56,101.8252,-57.1638,0,TessLightCurve(TICID: 278988418)
17644,364424408,4,4,9.92,69.7568,-75.1028,0,TessLightCurve(TICID: 364424408)
18328,383188391,1,4,9.51,142.4861,4.8996,0,TessLightCurve(TICID: 383188391)
15414,319257760,4,3,9.71,60.0756,-65.1359,0,TessLightCurve(TICID: 319257760)
1697,28952426,3,1,8.04,132.5305,-45.3248,0,TessLightCurve(TICID: 28952426)
483,5234091,2,2,8.18,142.5656,-39.905,0,TessLightCurve(TICID: 5234091)
18109,382159806,4,2,9.96,81.0745,-57.197,0,TessLightCurve(TICID: 382159806)
17677,364592454,4,4,7.82,86.1922,-72.663,0,TessLightCurve(TICID: 364592454)
17069,350434130,4,2,9.93,85.0447,-55.9924,0,TessLightCurve(TICID: 350434130)
10500,220461599,4,3,9.36,74.9167,-58.2377,0,TessLightCurve(TICID: 220461599)
436,3582508,2,2,13.65,139.5935,-36.1019,0,TessLightCurve(TICID: 3582508)
9042,176774362,2,3,10.77,142.6107,-21.7559,0,TessLightCurve(TICID: 176774362)
11399,260301896,4,2,5.5,94.5927,-54.404,0,TessLightCurve(TICID: 260301896)
15282,310307789,4,1,9.02,127.8606,-65.7019,0,TessLightCurve(TICID: 310307789)
5525,126430122,3,1,11.76,136.6591,-52.3559,0,TessLightCurve(TICID: 126430122)
9769,185170357,3,1,9.91,128.496,-40.7656,0,TessLightCurve(TICID: 185170357)
17050,350346371,4,2,5.79,84.6071,-54.9542,0,TessLightCurve(TICID: 350346371)
17198,350652801,4,2,10.58,87.832,-55.8578,0,TessLightCurve(TICID: 350652801)
9212,177163233,4,1,12.99,104.4693,-70.9603,0,TessLightCurve(TICID: 177163233)
11162,255743804,3,3,9.6,99.1714,-50.4248,0,TessLightCurve(TICID: 255743804)
18512,389174727,1,4,11.96,145.6155,7.2519,0,TessLightCurve(TICID: 389174727)
14781,306933992,4,1,8.35,122.8078,-69.2608,0,TessLightCurve(TICID: 306933992)
3712,55604793,4,3,10.02,73.523,-61.3202,0,TessLightCurve(TICID: 55604793)
17439,358153877,4,4,13.86,69.8904,-77.6462,0,TessLightCurve(TICID: 358153877)
918,19015988,2,2,13.47,138.4251,-30.4831,0,TessLightCurve(TICID: 19015988)
1163,24729857,2,2,8.15,141.8177,-34.1283,0,TessLightCurve(TICID: 24729857)
18359,384028638,3,4,13.53,135.6058,-57.7341,0,TessLightCurve(TICID: 384028638)
19527,425086349,4,3,9.06,82.9997,-66.3552,0,TessLightCurve(TICID: 425086349)
1924,30642087,4,3,8.59,75.3325,-67.4471,0,TessLightCurve(TICID: 30642087)
7047,145579194,2,1,13.32,122.8107,-32.7361,0,TessLightCurve(TICID: 145579194)
8741,173756330,3,2,8.81,112.8755,-36.8908,0,TessLightCurve(TICID: 173756330)
6519,141756071,4,4,10.0,91.4723,-75.1745,0,TessLightCurve(TICID: 141756071)
18403,386461482,2,3,12.06,143.9581,-17.8282,0,TessLightCurve(TICID: 386461482)
11350,260241701,4,2,13.03,93.5057,-55.3479,0,TessLightCurve(TICID: 260241701)
10488,220457103,4,3,9.61,74.3083,-58.9676,0,TessLightCurve(TICID: 220457103)
16837,349767833,4,1,9.43,112.8478,-60.0272,0,TessLightCurve(TICID: 349767833)
13138,279514430,3,3,9.74,105.7605,-55.1275,0,TessLightCurve(TICID: 279514430)
18796,398217154,2,3,9.17,139.8531,-24.2563,0,TessLightCurve(TICID: 398217154)
10909,238094180,3,3,9.97,105.1812,-49.6114,0,TessLightCurve(TICID: 238094180)
14360,300160400,4,1,10.91,109.236,-71.6153,0,TessLightCurve(TICID: 300160400)
12348,271596290,4,4,10.2,108.5087,-74.7111,0,TessLightCurve(TICID: 271596290)
19473,422208233,1,2,9.97,151.465,-14.334,0,TessLightCurve(TICID: 422208233)
2211,33358532,1,2,9.46,150.5447,-7.7681,0,TessLightCurve(TICID: 33358532)
6420,141543540,4,4,11.66,87.8462,-75.9096,0,TessLightCurve(TICID: 141543540)
18317,383185930,1,4,10.64,142.233,2.3626,0,TessLightCurve(TICID: 383185930)
7511,149739566,1,1,8.15,130.242,-3.075,0,TessLightCurve(TICID: 149739566)
16614,349059078,4,1,13.36,107.6127,-65.1146,0,TessLightCurve(TICID: 349059078)
3909,57035113,2,1,4.3,127.6191,-32.1593,0,TessLightCurve(TICID: 57035113)
8566,167793568,4,1,10.91,104.0326,-65.9658,0,TessLightCurve(TICID: 167793568)
7976,150751376,2,1,13.98,117.9528,-31.0848,0,TessLightCurve(TICID: 150751376)
8247,156532681,2,1,5.28,124.9856,-29.3475,0,TessLightCurve(TICID: 156532681)
12325,271476609,2,1,8.44,125.4077,-28.951,0,TessLightCurve(TICID: 271476609)
698,13537408,1,1,9.94,132.5007,-10.8859,0,TessLightCurve(TICID: 13537408)
4912,95785261,1,1,9.76,135.7887,-8.807,0,TessLightCurve(TICID: 95785261)
3417,52932529,3,1,13.2,125.7622,-44.7459,0,TessLightCurve(TICID: 52932529)
15627,332701193,1,2,9.98,150.0515,-13.3159,0,TessLightCurve(TICID: 332701193)
2189,33301586,1,2,12.47,149.7248,-11.2472,0,TessLightCurve(TICID: 33301586)
17235,350715999,4,2,7.8,88.3989,-56.6708,0,TessLightCurve(TICID: 350715999)
2538,38515255,4,3,10.57,62.6151,-62.179,0,TessLightCurve(TICID: 38515255)
589,11382157,2,3,9.37,145.6296,-26.4061,0,TessLightCurve(TICID: 11382157)
5011,96106991,1,2,10.58,147.2511,-8.7913,0,TessLightCurve(TICID: 96106991)
2137,33167874,1,2,7.82,148.4821,-10.5866,0,TessLightCurve(TICID: 33167874)
6604,141911201,4,4,10.91,94.6308,-76.0051,0,TessLightCurve(TICID: 141911201)
8625,170159728,3,3,8.65,101.8016,-47.1541,0,TessLightCurve(TICID: 170159728)
2100,32089054,4,3,9.48,58.3193,-70.1737,0,TessLightCurve(TICID: 32089054)
1330,25156969,2,2,11.13,143.2875,-30.6987,0,TessLightCurve(TICID: 25156969)
17683,370011106,4,3,10.89,60.5419,-66.5612,0,TessLightCurve(TICID: 370011106)
16453,348759552,2,4,10.52,134.2044,-17.5103,0,TessLightCurve(TICID: 348759552)
3824,55848818,4,3,10.93,75.8311,-62.1982,0,TessLightCurve(TICID: 55848818)
1334,25161053,2,2,8.71,143.1793,-34.3955,0,TessLightCurve(TICID: 25161053)
1435,25564810,2,2,11.65,144.6114,-30.4044,0,TessLightCurve(TICID: 25564810)
4915,95786794,1,1,12.1,135.8703,-6.1402,0,TessLightCurve(TICID: 95786794)
5862,134467368,3,2,10.23,122.4556,-39.061,0,TessLightCurve(TICID: 134467368)
7626,149989242,4,2,9.02,90.6223,-61.7133,0,TessLightCurve(TICID: 149989242)
19531,428626269,2,3,13.5,145.723,-22.0983,0,TessLightCurve(TICID: 428626269)
8665,170889350,1,1,10.32,139.5207,-3.9274,0,TessLightCurve(TICID: 170889350)
19625,434452068,2,3,9.69,139.7212,-19.3378,0,TessLightCurve(TICID: 434452068)
2011,31265672,4,4,10.52,76.5691,-71.3476,0,TessLightCurve(TICID: 31265672)
15634,332703291,1,2,8.02,150.0707,-16.5037,0,TessLightCurve(TICID: 332703291)
2558,38519063,4,3,10.52,63.1216,-61.6697,0,TessLightCurve(TICID: 38519063)
18778,396826300,1,2,8.44,148.3164,-13.9467,0,TessLightCurve(TICID: 396826300)
7735,150150095,4,2,9.2,92.961,-65.0479,0,TessLightCurve(TICID: 150150095)
16073,340640030,3,4,10.6,116.7108,-57.3977,0,TessLightCurve(TICID: 340640030)
2678,38682820,4,3,11.78,65.8749,-62.5822,0,TessLightCurve(TICID: 38682820)
7880,150360085,4,2,10.58,96.4334,-61.1082,0,TessLightCurve(TICID: 150360085)
973,19611290,2,2,14.32,139.8999,-31.5036,0,TessLightCurve(TICID: 19611290)
19513,424237928,2,1,14.09,127.7363,-31.4763,0,TessLightCurve(TICID: 424237928)
5219,114932270,2,4,11.08,132.7632,-15.6378,0,TessLightCurve(TICID: 114932270)
17762,372848061,4,3,9.59,67.7102,-58.6542,0,TessLightCurve(TICID: 372848061)
12404,271796731,4,1,10.03,111.1018,-72.2725,0,TessLightCurve(TICID: 271796731)
731,13709129,1,1,9.57,133.454,-7.9696,0,TessLightCurve(TICID: 13709129)
2584,38573872,4,3,11.84,63.6172,-61.1587,0,TessLightCurve(TICID: 38573872)
14555,300710451,4,1,13.88,115.2635,-70.7507,0,TessLightCurve(TICID: 300710451)
610,11465806,2,3,8.08,146.2209,-27.3647,0,TessLightCurve(TICID: 11465806)
502,5347658,2,3,8.15,139.0785,-23.1302,0,TessLightCurve(TICID: 5347658)
477,5165416,2,2,5.93,142.3167,-38.4035,0,TessLightCurve(TICID: 5165416)
10944,238165063,3,3,8.88,106.5514,-51.6113,0,TessLightCurve(TICID: 238165063)
1171,24785991,2,2,15.52,141.942,-30.3789,0,TessLightCurve(TICID: 24785991)
11378,260269519,4,2,11.58,94.2973,-54.7598,0,TessLightCurve(TICID: 260269519)
13344,283881257,2,1,15.56,129.0577,-26.521,0,TessLightCurve(TICID: 283881257)
10108,189617334,2,3,9.78,144.0425,-28.2765,0,TessLightCurve(TICID: 189617334)
19310,413204918,2,3,10.49,143.8868,-21.3569,0,TessLightCurve(TICID: 413204918)
7702,150106553,4,2,11.34,92.3365,-60.4473,0,TessLightCurve(TICID: 150106553)
18344,383217850,1,4,10.97,142.7117,2.456,0,TessLightCurve(TICID: 383217850)
4377,76178139,3,1,10.5,139.9441,-43.7712,0,TessLightCurve(TICID: 76178139)
12570,275250721,1,3,9.99,148.1948,5.6626,0,TessLightCurve(TICID: 275250721)
9159,177034802,4,1,5.76,102.6051,-69.9863,0,TessLightCurve(TICID: 177034802)
12302,270847875,3,1,8.22,132.1234,-47.5377,0,TessLightCurve(TICID: 270847875)
14093,294397009,3,3,10.56,109.3405,-56.7003,0,TessLightCurve(TICID: 294397009)
263,1404989,2,3,7.73,140.3848,-17.7577,0,TessLightCurve(TICID: 1404989)
17406,356072479,3,1,8.29,138.4358,-50.2235,0,TessLightCurve(TICID: 356072479)
14853,307702561,2,4,8.44,124.8194,-16.8606,0,TessLightCurve(TICID: 307702561)
6713,142107821,4,4,8.73,98.9599,-75.7938,0,TessLightCurve(TICID: 142107821)
15691,334656191,1,2,14.24,141.4833,-14.3734,0,TessLightCurve(TICID: 334656191)
276,1442502,1,2,8.87,142.6611,-15.1578,0,TessLightCurve(TICID: 1442502)
18932,405344987,2,4,13.4,128.662,-15.1968,0,TessLightCurve(TICID: 405344987)
15331,312068854,1,4,10.59,140.0225,8.4417,0,TessLightCurve(TICID: 312068854)
14236,296841960,1,2,9.86,142.5789,-16.8426,0,TessLightCurve(TICID: 296841960)
17180,350620911,4,2,11.47,87.62,-59.755,0,TessLightCurve(TICID: 350620911)
4250,70624037,2,3,7.99,139.5364,-27.2845,0,TessLightCurve(TICID: 70624037)
2453,38424405,4,3,8.25,60.4109,-61.9585,0,TessLightCurve(TICID: 38424405)
10509,220473997,4,3,12.05,75.2437,-59.5747,0,TessLightCurve(TICID: 220473997)
14437,300381517,4,1,10.74,111.188,-66.8338,0,TessLightCurve(TICID: 300381517)
11301,260128701,4,2,8.15,92.4076,-59.522,0,TessLightCurve(TICID: 260128701)
3568,55385093,4,3,11.16,77.5637,-65.3399,0,TessLightCurve(TICID: 55385093)
15385,315006585,2,3,10.57,145.0653,-28.5702,0,TessLightCurve(TICID: 315006585)
19289,413095191,2,4,13.44,127.5841,-23.6382,0,TessLightCurve(TICID: 413095191)
18016,380527820,2,3,9.05,140.0911,-19.5084,0,TessLightCurve(TICID: 380527820)
14046,294226604,2,4,14.22,132.745,-21.9584,0,TessLightCurve(TICID: 294226604)
6177,140938804,4,4,10.64,76.8458,-74.1697,0,TessLightCurve(TICID: 140938804)
7486,149630160,4,2,5.72,87.402,-60.6763,0,TessLightCurve(TICID: 149630160)
16005,340458849,3,4,7.02,115.5871,-58.6701,0,TessLightCurve(TICID: 340458849)
18104,382159195,4,2,9.94,80.9028,-55.5634,0,TessLightCurve(TICID: 382159195)
506,5362544,2,3,11.64,139.1983,-18.1416,0,TessLightCurve(TICID: 5362544)
12573,275251217,1,3,11.14,148.1161,3.4947,0,TessLightCurve(TICID: 275251217)
472,4854918,2,2,13.83,141.725,-40.301,0,TessLightCurve(TICID: 4854918)
8793,174475885,3,2,8.61,114.6137,-39.6928,0,TessLightCurve(TICID: 174475885)
174,1195021,1,1,12.45,136.1679,-12.3237,0,TessLightCurve(TICID: 1195021)
16136,341338266,3,4,10.4,119.7855,-59.8372,0,TessLightCurve(TICID: 341338266)
17226,350711249,4,2,8.03,88.1115,-57.9009,0,TessLightCurve(TICID: 350711249)
9169,177038077,4,1,8.59,103.1101,-66.8268,0,TessLightCurve(TICID: 177038077)
9290,177286607,4,4,11.38,102.816,-76.4932,0,TessLightCurve(TICID: 177286607)
9612,181513483,3,1,7.69,131.3848,-39.7521,0,TessLightCurve(TICID: 181513483)
5012,96141660,1,2,9.06,147.2126,-9.2475,0,TessLightCurve(TICID: 96141660)
7927,150430431,4,2,10.44,97.2141,-61.2556,0,TessLightCurve(TICID: 150430431)
2850,38954437,4,3,12.94,70.221,-60.9135,0,TessLightCurve(TICID: 38954437)
18566,389869337,4,4,10.47,87.8103,-67.7915,0,TessLightCurve(TICID: 389869337)
13886,293499268,1,2,12.75,140.4837,-13.8557,0,TessLightCurve(TICID: 293499268)
18917,405297025,2,4,14.67,128.3913,-16.42,0,TessLightCurve(TICID: 405297025)
533,5623719,2,2,15.18,143.3065,-38.0283,0,TessLightCurve(TICID: 5623719)
13839,291558139,3,3,10.58,111.6483,-52.7541,0,TessLightCurve(TICID: 291558139)
5294,118608254,2,4,9.6,130.2439,-23.452,0,TessLightCurve(TICID: 118608254)
5848,134355271,3,3,8.98,107.5046,-44.1821,0,TessLightCurve(TICID: 134355271)
19590,432135885,2,3,10.81,137.4644,-23.3165,0,TessLightCurve(TICID: 432135885)
9397,178874602,1,3,9.28,151.3631,-5.5781,0,TessLightCurve(TICID: 178874602)
11779,262611586,3,4,10.09,116.2209,-60.2087,0,TessLightCurve(TICID: 262611586)
1465,25610545,2,2,11.38,144.966,-31.5837,0,TessLightCurve(TICID: 25610545)
17809,372915107,3,1,9.84,138.0523,-48.1087,0,TessLightCurve(TICID: 372915107)
14982,308537491,3,4,11.46,120.9614,-61.1541,0,TessLightCurve(TICID: 308537491)
3468,54872774,1,1,12.81,130.8354,-7.202,0,TessLightCurve(TICID: 54872774)
17365,355375058,3,4,8.18,131.0817,-62.6858,0,TessLightCurve(TICID: 355375058)
539,5902886,2,2,12.39,143.8208,-37.003,0,TessLightCurve(TICID: 5902886)
15872,340065447,3,4,12.52,113.1293,-57.71,0,TessLightCurve(TICID: 340065447)
11302,260128839,4,2,13.91,92.384,-59.1833,0,TessLightCurve(TICID: 260128839)
6812,143202322,3,2,5.3,117.3675,-44.751,0,TessLightCurve(TICID: 143202322)
1426,25517076,2,2,13.98,144.309,-33.7039,0,TessLightCurve(TICID: 25517076)
6301,141267791,4,4,10.51,82.0137,-76.947,0,TessLightCurve(TICID: 141267791)
13811,290651893,1,4,8.13,141.0034,5.6062,0,TessLightCurve(TICID: 290651893)
9798,185699375,2,1,13.86,130.4373,-31.8429,0,TessLightCurve(TICID: 185699375)
3662,55523283,4,3,11.48,72.0205,-61.6811,0,TessLightCurve(TICID: 55523283)
1008,20037720,1,1,9.86,136.8903,-7.184,0,TessLightCurve(TICID: 20037720)
16342,347410818,2,4,10.26,133.0362,-15.1644,0,TessLightCurve(TICID: 347410818)
12296,270742379,3,1,8.75,132.0578,-44.8728,0,TessLightCurve(TICID: 270742379)
16937,350032229,3,4,12.13,114.9388,-60.4904,0,TessLightCurve(TICID: 350032229)
5383,119080870,2,4,9.76,136.2258,-18.2027,0,TessLightCurve(TICID: 119080870)
12229,270605051,1,4,9.6,136.5347,1.7492,0,TessLightCurve(TICID: 270605051)
10605,231097153,4,3,11.14,69.119,-69.0777,0,TessLightCurve(TICID: 231097153)
15026,308613867,3,4,12.02,121.6099,-62.1639,0,TessLightCurve(TICID: 308613867)
14634,305538699,2,3,14.32,139.3128,-16.1267,0,TessLightCurve(TICID: 305538699)
4550,78152374,1,3,13.15,147.7394,-1.5689,0,TessLightCurve(TICID: 78152373)
12586,275293113,1,3,10.41,149.4959,4.5698,0,TessLightCurve(TICID: 275293113)
8810,174744789,3,2,11.43,115.0716,-37.6106,0,TessLightCurve(TICID: 174744789)
6765,142753747,1,1,8.47,138.029,-3.5179,0,TessLightCurve(TICID: 142753747)
4531,78131818,1,3,8.11,147.3821,-0.8515,0,TessLightCurve(TICID: 78131818)
17331,350954963,4,2,8.65,91.0002,-54.1324,0,TessLightCurve(TICID: 350954963)
6722,142109665,4,4,9.9,99.3646,-75.9291,0,TessLightCurve(TICID: 142109665)
913,18894153,2,2,8.21,138.161,-33.6238,0,TessLightCurve(TICID: 18894153)
27,860526,1,1,9.67,135.1955,-4.3707,0,TessLightCurve(TICID: 860526)
15231,309702975,4,3,10.86,79.7088,-64.9503,0,TessLightCurve(TICID: 309702975)
11168,255746712,3,3,9.71,99.4869,-52.6022,0,TessLightCurve(TICID: 255746712)
10971,238446088,3,4,9.16,121.2593,-50.3928,0,TessLightCurve(TICID: 238446088)
16053,340561622,3,4,10.51,116.2142,-57.1831,0,TessLightCurve(TICID: 340561622)
9463,179369863,4,4,8.5,80.1233,-71.5336,0,TessLightCurve(TICID: 179369863)
10861,238063079,3,3,3.14,104.0667,-48.721,0,TessLightCurve(TICID: 238063079)
5517,123944630,3,2,9.62,116.5765,-46.3918,0,TessLightCurve(TICID: 123944630)
15938,340218847,3,4,11.07,113.949,-59.4154,0,TessLightCurve(TICID: 340218847)
12132,270458066,1,4,9.41,135.2916,1.9426,0,TessLightCurve(TICID: 270458066)
18619,391901095,4,1,7.29,115.8335,-70.0647,0,TessLightCurve(TICID: 391901095)
8136,154361257,2,1,14.39,121.7789,-24.0467,0,TessLightCurve(TICID: 154361257)
9563,180581211,3,1,6.71,129.0967,-38.4551,0,TessLightCurve(TICID: 180581211)
2031,31381302,4,4,12.38,88.3541,-71.5621,0,TessLightCurve(TICID: 31381302)
